Time, College Net Use kWh, Solar Production kWh
01/01/21 00:15, 376.8, -0.08
01/01/21 00:30, 372.16, -0.08
01/01/21 00:45, 365.76, -0.08
01/01/21 01:00, 362.88, -0.08
01/01/21 01:15, 356, -0.08
01/01/21 01:30, 354.88, -0.08
01/01/21 01:45, 288.64, -0.08
01/01/21 02:00, 268.32, -0.08
01/01/21 02:15, 274.4, -0.08
01/01/21 02:30, 279.36, -0.08
01/01/21 02:45, 279.84, -0.08
01/01/21 03:00, 274.24, -0.08
01/01/21 03:15, 277.12, -0.08
01/01/21 03:30, 277.44, -0.08
01/01/21 03:45, 273.6, -0.08
01/01/21 04:00, 276.96, -0.08
01/01/21 04:15, 284.64, -0.08
01/01/21 04:30, 287.04, -0.08
01/01/21 04:45, 284.8, -0.08
01/01/21 05:00, 285.44, -0.08
01/01/21 05:15, 291.68, -0.08
01/01/21 05:30, 288.32, -0.08
01/01/21 05:45, 291.84, -0.08
01/01/21 06:00, 292, -0.08
01/01/21 06:15, 300.8, -0.08
01/01/21 06:30, 299.68, -0.08
01/01/21 06:45, 298.88, -0.08
01/01/21 07:00, 297.6, -0.111
01/01/21 07:15, 298.4, -0.0185
01/01/21 07:30, 301.76, 1.891
01/01/21 07:45, 293.76, 6.35675
01/01/21 08:00, 284.64, 14.81275
01/01/21 08:15, 275.68, 24.055
01/01/21 08:30, 262.72, 34.50725
01/01/21 08:45, 253.28, 46.743
01/01/21 09:00, 240.48, 59.22175
01/01/21 09:15, 231.04, 72.3775
01/01/21 09:30, 215.52, 85.091
01/01/21 09:45, 201.76, 98.07825
01/01/21 10:00, 191.2, 109.5625
01/01/21 10:15, 179.52, 120.7685
01/01/21 10:30, 170.08, 129.8995
01/01/21 10:45, 162.72, 138.623
01/01/21 11:00, 158.4, 145.69225
01/01/21 11:15, 158.56, 153.184
01/01/21 11:30, 162.88, 158.71975
01/01/21 11:45, 182.56, 163.1685
01/01/21 12:00, 169.6, 166.194
01/01/21 12:15, 158.72, 169.00325
01/01/21 12:30, 125.76, 170.33075
01/01/21 12:45, 117.92, 170.324
01/01/21 13:00, 118.24, 167.56925
01/01/21 13:15, 119.04, 167.133
01/01/21 13:30, 123.04, 164.64125
01/01/21 13:45, 128.48, 159.38075
01/01/21 14:00, 131.52, 153.67975
01/01/21 14:15, 141.12, 148.747
01/01/21 14:30, 148.32, 142.001
01/01/21 14:45, 164.96, 130.8175
01/01/21 15:00, 158.72, 123.656
01/01/21 15:15, 170.88, 113.33125
01/01/21 15:30, 184.96, 99.6475
01/01/21 15:45, 200.48, 85.0395
01/01/21 16:00, 220.48, 62.28875
01/01/21 16:15, 260.96, 29.86825
01/01/21 16:30, 269.12, 14.6785
01/01/21 16:45, 275.68, 10.9375
01/01/21 17:00, 289.6, 1.96425
01/01/21 17:15, 297.76, -0.36675
01/01/21 17:30, 298.4, -0.08
01/01/21 17:45, 297.92, -0.08
01/01/21 18:00, 299.68, -0.08
01/01/21 18:15, 298.56, -0.08
01/01/21 18:30, 298.24, -0.08
01/01/21 18:45, 299.2, -0.08
01/01/21 19:00, 298.72, -0.08
01/01/21 19:15, 298.56, -0.08
01/01/21 19:30, 296.96, -0.08
01/01/21 19:45, 297.12, -0.08
01/01/21 20:00, 296.32, -0.08
01/01/21 20:15, 295.84, -0.08
01/01/21 20:30, 291.68, -0.08
01/01/21 20:45, 296.32, -0.08
01/01/21 21:00, 358.08, -0.08
01/01/21 21:15, 430.56, -0.08
01/01/21 21:30, 457.44, -0.08
01/01/21 21:45, 448.16, -0.08
01/01/21 22:00, 426.08, -0.08
01/01/21 22:15, 407.04, -0.08
01/01/21 22:30, 399.36, -0.08
01/01/21 22:45, 395.52, -0.08
01/01/21 23:00, 391.04, -0.08
01/01/21 23:15, 380.64, -0.08
01/01/21 23:30, 369.6, -0.08
01/01/21 23:45, 362.88, -0.08
01/02/21 00:00, 317.12, -0.08
01/02/21 00:15, 280.48, -0.08
01/02/21 00:30, 272.16, -0.08
01/02/21 00:45, 281.28, -0.08
01/02/21 01:00, 279.36, -0.08
01/02/21 01:15, 279.68, -0.08
01/02/21 01:30, 275.52, -0.08
01/02/21 01:45, 273.28, -0.08
01/02/21 02:00, 275.68, -0.08
01/02/21 02:15, 274.24, -0.08
01/02/21 02:30, 275.36, -0.08
01/02/21 02:45, 275.68, -0.08
01/02/21 03:00, 276.32, -0.08
01/02/21 03:15, 276.8, -0.08
01/02/21 03:30, 274.24, -0.08
01/02/21 03:45, 277.12, -0.08
01/02/21 04:00, 278.4, -0.08
01/02/21 04:15, 284.48, -0.08
01/02/21 04:30, 286.24, -0.08
01/02/21 04:45, 286.72, -0.08
01/02/21 05:00, 288.8, -0.08
01/02/21 05:15, 288.8, -0.08
01/02/21 05:30, 289.92, -0.08
01/02/21 05:45, 290.72, -0.08
01/02/21 06:00, 292.16, -0.08
01/02/21 06:15, 298.4, -0.08
01/02/21 06:30, 303.2, -0.08
01/02/21 06:45, 299.04, -0.08
01/02/21 07:00, 297.6, -0.08
01/02/21 07:15, 296.64, 1.78325
01/02/21 07:30, 296, 4.325
01/02/21 07:45, 288.32, 10.15725
01/02/21 08:00, 277.6, 19.698
01/02/21 08:15, 277.76, 23.14875
01/02/21 08:30, 281.44, 18.465
01/02/21 08:45, 264.64, 32.60925
01/02/21 09:00, 242.72, 55.44625
01/02/21 09:15, 227.84, 71.0125
01/02/21 09:30, 219.68, 83.58425
01/02/21 09:45, 202.72, 96.52725
01/02/21 10:00, 193.28, 108.35375
01/02/21 10:15, 185.76, 119.71325
01/02/21 10:30, 174.56, 130.47975
01/02/21 10:45, 167.68, 147.73425
01/02/21 11:00, 195.84, 109.3635
01/02/21 11:15, 167.52, 138.10225
01/02/21 11:30, 161.92, 158.99625
01/02/21 11:45, 195.36, 160.527
01/02/21 12:00, 173.44, 162.51075
01/02/21 12:15, 157.44, 163.6665
01/02/21 12:30, 170.56, 172.92925
01/02/21 12:45, 191.04, 115.556
01/02/21 13:00, 156.48, 156.01125
01/02/21 13:15, 151.36, 176.61675
01/02/21 13:30, 188.48, 146.55075
01/02/21 13:45, 197.12, 131.5325
01/02/21 14:00, 229.92, 103.511
01/02/21 14:15, 239.68, 86.6955
01/02/21 14:30, 244.64, 76.522
01/02/21 14:45, 270.24, 52.76625
01/02/21 15:00, 274.88, 57.18125
01/02/21 15:15, 281.6, 41.97475
01/02/21 15:30, 285.76, 54.3945
01/02/21 15:45, 303.68, 22.3375
01/02/21 16:00, 301.76, 22.73875
01/02/21 16:15, 314.08, 17.20275
01/02/21 16:30, 316.96, 7.03775
01/02/21 16:45, 323.2, 6.02
01/02/21 17:00, 335.2, -0.13475
01/02/21 17:15, 336.16, -0.22375
01/02/21 17:30, 340, -0.08
01/02/21 17:45, 338.56, -0.08
01/02/21 18:00, 338.88, -0.08
01/02/21 18:15, 326.56, -0.08
01/02/21 18:30, 317.76, -0.08
01/02/21 18:45, 327.04, -0.08
01/02/21 19:00, 339.04, -0.08
01/02/21 19:15, 332.48, -0.08
01/02/21 19:30, 332.16, -0.08
01/02/21 19:45, 312, -0.08
01/02/21 20:00, 312.32, -0.08
01/02/21 20:15, 328.8, -0.08
01/02/21 20:30, 324, -0.08
01/02/21 20:45, 320.64, -0.08
01/02/21 21:00, 308.64, -0.08
01/02/21 21:15, 300.16, -0.08
01/02/21 21:30, 297.92, -0.08
01/02/21 21:45, 292.8, -0.08
01/02/21 22:00, 294.56, -0.08
01/02/21 22:15, 291.84, -0.08
01/02/21 22:30, 288.32, -0.08
01/02/21 22:45, 294.4, -0.08
01/02/21 23:00, 295.52, -0.08
01/02/21 23:15, 292.48, -0.08
01/02/21 23:30, 285.92, -0.08
01/02/21 23:45, 285.6, -0.08
01/03/21 00:00, 280.96, -0.08
01/03/21 00:15, 274.72, -0.08
01/03/21 00:30, 274.24, -0.08
01/03/21 00:45, 275.52, -0.08
01/03/21 01:00, 275.84, -0.08
01/03/21 01:15, 275.2, -0.08
01/03/21 01:30, 274.08, -0.08
01/03/21 01:45, 277.44, -0.08
01/03/21 02:00, 275.84, -0.08
01/03/21 02:15, 274.24, -0.08
01/03/21 02:30, 275.04, -0.08
01/03/21 02:45, 277.28, -0.08
01/03/21 03:00, 273.76, -0.08
01/03/21 03:15, 275.68, -0.08
01/03/21 03:30, 276.32, -0.08
01/03/21 03:45, 275.2, -0.08
01/03/21 04:00, 275.68, -0.08
01/03/21 04:15, 283.36, -0.08
01/03/21 04:30, 285.6, -0.08
01/03/21 04:45, 287.52, -0.08
01/03/21 05:00, 288.16, -0.08
01/03/21 05:15, 289.92, -0.08
01/03/21 05:30, 290.56, -0.08
01/03/21 05:45, 288.32, -0.08
01/03/21 06:00, 292.32, -0.08
01/03/21 06:15, 298.88, -0.08
01/03/21 06:30, 298.88, -0.08
01/03/21 06:45, 296.96, -0.08
01/03/21 07:00, 296.64, -0.13975
01/03/21 07:15, 302.56, -0.12375
01/03/21 07:30, 300.96, 0.81425
01/03/21 07:45, 299.52, 4.8315
01/03/21 08:00, 298.08, 9.264
01/03/21 08:15, 298.88, 10.115
01/03/21 08:30, 277.12, 27.239
01/03/21 08:45, 259.68, 47.45975
01/03/21 09:00, 245.44, 59.67975
01/03/21 09:15, 236.16, 73.15025
01/03/21 09:30, 231.84, 79.46675
01/03/21 09:45, 224.8, 86.65675
01/03/21 10:00, 202.24, 105.217
01/03/21 10:15, 191.68, 117.0305
01/03/21 10:30, 182.4, 125.907
01/03/21 10:45, 176.64, 134.537
01/03/21 11:00, 174.56, 141.6355
01/03/21 11:15, 163.84, 149.9055
01/03/21 11:30, 151.36, 159.52625
01/03/21 11:45, 155.52, 161.29825
01/03/21 12:00, 156.32, 162.83525
01/03/21 12:15, 155.84, 160.367
01/03/21 12:30, 173.92, 163.6825
01/03/21 12:45, 167.84, 154.3235
01/03/21 13:00, 164.32, 165.2925
01/03/21 13:15, 227.68, 119.2615
01/03/21 13:30, 250.4, 85.1455
01/03/21 13:45, 222.4, 107.3025
01/03/21 14:00, 230.4, 103.01825
01/03/21 14:15, 214.08, 117.5745
01/03/21 14:30, 275.52, 62.676
01/03/21 14:45, 289.44, 35.959
01/03/21 15:00, 288.96, 37.2695
01/03/21 15:15, 256.8, 56.02575
01/03/21 15:30, 257.28, 72.559
01/03/21 15:45, 279.36, 46.25275
01/03/21 16:00, 287.84, 38.95025
01/03/21 16:15, 297.28, 26.81875
01/03/21 16:30, 311.36, 16.8645
01/03/21 16:45, 320.32, 8.7855
01/03/21 17:00, 333.12, 2.05125
01/03/21 17:15, 336.96, 0.04775
01/03/21 17:30, 339.2, -0.12475
01/03/21 17:45, 339.68, -0.08
01/03/21 18:00, 340.32, -0.08
01/03/21 18:15, 335.84, -0.08
01/03/21 18:30, 323.04, -0.08
01/03/21 18:45, 313.12, -0.08
01/03/21 19:00, 321.28, -0.08
01/03/21 19:15, 334.08, -0.08
01/03/21 19:30, 330.08, -0.08
01/03/21 19:45, 329.12, -0.08
01/03/21 20:00, 325.6, -0.08
01/03/21 20:15, 325.44, -0.08
01/03/21 20:30, 320.48, -0.08
01/03/21 20:45, 307.84, -0.08
01/03/21 21:00, 305.12, -0.08
01/03/21 21:15, 321.6, -0.08
01/03/21 21:30, 319.04, -0.08
01/03/21 21:45, 318.56, -0.08
01/03/21 22:00, 313.28, -0.08
01/03/21 22:15, 295.52, -0.08
01/03/21 22:30, 291.36, -0.08
01/03/21 22:45, 306.4, -0.08
01/03/21 23:00, 294.72, -0.08
01/03/21 23:15, 290.88, -0.08
