"","Year","Month","Season","High_Peak_kW","Low_Peak_kW","High_Rate","Low_Rate","Low_Cost","High_Cost","Monthly_Demand_Cost","Facility_Charge","Total_Demand_Cost","Total_Cost"
"1",2024,1,"Winter",1.6448,1.68704,4.3,0,0,7072.64,7072.64,332407.296,0,332407.296
"2",2024,2,"Winter",1.68192,1.80224,4.3,0,0,7232.256,7232.256,332407.296,0,332407.296
"3",2024,3,"Winter",1.65888,1.70112,4.3,0,0,7133.184,7133.184,332407.296,0,332407.296
"4",2024,4,"Winter",1.76768,1.7216,4.3,0,0,7601.024,7601.024,332407.296,0,332407.296
"5",2024,5,"Winter",1.67424,1.74976,4.3,0,0,7199.232,7199.232,332407.296,0,332407.296
"6",2024,6,"Summer",2.12992,2.08512,9.7,3.3,6880.896,20660.224,27541.12,332407.296,0,332407.296
"7",2024,7,"Summer",2.27328,2.21056,9.7,3.3,7294.848,22050.816,29345.664,332407.296,0,332407.296
"8",2024,8,"Summer",2.22848,2.21696,9.7,3.3,7315.968,21616.256,28932.224,332407.296,0,332407.296
"9",2024,9,"Summer",2.65344,2.8096,9.7,3.3,9271.68,25738.368,35010.048,332407.296,0,332407.296
"10",2024,10,"Winter",2.30528,2.64192,4.3,0,0,9912.704,9912.704,332407.296,0,332407.296
"11",2024,11,"Winter",1.66016,1.9264,4.3,0,0,7138.688,7138.688,332407.296,0,332407.296
"12",2024,12,"Winter",1.65376,1.70112,4.3,0,0,7111.168,7111.168,332407.296,0,332407.296
"13",2025,1,"Winter",0,0,4.3,0,0,0,0,332407.296,0,332407.296
