"","Year","Month","Season","High_Peak_kW","Low_Peak_kW","High_Rate","Low_Rate","Low_Cost","High_Cost","Monthly_Demand_Cost","Facility_Charge","Total_Demand_Cost","Total_Cost"
"1",2024,1,"Winter",1.6448,1.68704,4.3,0,0,0,0,13699.5839268077,0,13699.5839268077
"2",2024,2,"Winter",1.68192,1.80224,4.3,0,0,0,0,13699.5839268077,0,13699.5839268077
"3",2024,3,"Winter",1.65888,1.70112,4.3,0,0,0,0,13699.5839268077,0,13699.5839268077
"4",2024,4,"Winter",1.76768,1.7216,4.3,0,0,21.5986654332801,21.5986654332801,13699.5839268077,0,13699.5839268077
"5",2024,5,"Winter",1.67424,1.74976,4.3,0,0,0,0,13699.5839268077,0,13699.5839268077
"6",2024,6,"Summer",2.12992,2.08512,9.7,3.3,0,384.896000000001,384.896000000001,13699.5839268077,0,13699.5839268077
"7",2024,7,"Summer",2.27328,2.21056,9.7,3.3,0,0,0,13699.5839268077,0,13699.5839268077
"8",2024,8,"Summer",2.22848,2.21696,9.7,3.3,-289.365751414093,0,-289.36575141409,13699.5839268077,0,13699.5839268077
"9",2024,9,"Summer",2.65344,2.8096,9.7,3.3,272.220299039038,-714.589302824639,-442.369003785599,13699.5839268077,0,13699.5839268077
"10",2024,10,"Winter",2.30528,2.64192,4.3,0,0,0,0,13699.5839268077,0,13699.5839268077
"11",2024,11,"Winter",1.66016,1.9264,4.3,0,0,0,0,13699.5839268077,0,13699.5839268077
"12",2024,12,"Winter",1.65376,1.70112,4.3,0,0,0,0,13699.5839268077,0,13699.5839268077
"13",2025,1,"Winter",0,0,4.3,0,0,0,0,13699.5839268077,0,13699.5839268077
